# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksRequested,1778169989702000000,1778170017939000000,291
parser.HTML.size.bytes,1778169989702000000,1778170017939000000,1
lexer.HTML.time.ns,1778169989702000000,1778170017939000000,151751
parser.VTL.size.bytes,1778169989702000000,1778170017939000000,138
DiskQueryRelay.taskExecutionTotalTimeUs,1778169989702000000,1778170017939000000,210119
lexer.VTL.time.ns,1778169989702000000,1778170017939000000,418209
writeAction.count,1778169989702000000,1778170017939000000,12
writeAction.median.wait.ms,1778169989702000000,1778170017939000000,0
writeAction.max.wait.ms,1778169989702000000,1778170017939000000,24
DiskQueryRelay.taskWaitingTotalTimeUs,1778169989702000000,1778170017939000000,228865
DiskQueryRelay.tasksExecuted,1778169989702000000,1778170017939000000,291
lexer.VTL.size.bytes,1778169989702000000,1778170017939000000,138
writeAction.wait.ms,1778169989702000000,1778170017939000000,24
parser.HTML.time.ns,1778169989702000000,1778170017939000000,1055001
parser.VTL.time.ns,1778169989702000000,1778170017939000000,561958
lexer.HTML.size.bytes,1778169989702000000,1778170017939000000,1
Indexing.writesQueuedMax,1778169989702000000,1778170017939000000,0
Indexes.entries.lookupDurationAvgMs,1778169989702000000,1778170017939000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1778169989702000000,1778170017939000000,0.0
Indexes.stubs.lookups,1778169989702000000,1778170017939000000,0
Indexes.stubs.lookupDurationMaxMs,1778169989702000000,1778170017939000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1778169989702000000,1778170017939000000,0
Indexes.entries.lookups,1778169989702000000,1778170017939000000,1
Indexing.cache.totalCacheEvicted,1778169989702000000,1778170017939000000,0
Indexing.cache.totalCacheMisses,1778169989702000000,1778170017939000000,0
Indexes.allKeys.lookupDurationAvgMs,1778169989702000000,1778170017939000000,0.0
Indexing.cache.totalCacheAccesses,1778169989702000000,1778170017939000000,0
Indexes.entries.lookupDurationMaxMs,1778169989702000000,1778170017939000000,0.0
Indexes.stubs.lookupDurationAvgMs,1778169989702000000,1778170017939000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1778169989702000000,1778170017939000000,0
Indexing.writesQueuedMin,1778169989702000000,1778170017939000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1778169989702000000,1778170017939000000,0
Indexes.entries.lookupDuration90PMs,1778169989702000000,1778170017939000000,0.0
Indexes.allKeys.lookupDuration90PMs,1778169989702000000,1778170017939000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1778169989702000000,1778170017939000000,0
Indexes.allKeys.lookups,1778169989702000000,1778170017939000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1778169989702000000,1778170017939000000,0
Indexes.stubs.lookupDuration90PMs,1778169989702000000,1778170017939000000,0.0
cacheStateStorage.set.counter,1778169989702000000,1778170017939000000,8
cacheStateStorage.set.duration,1778169989702000000,1778170017939000000,68
cacheStateStorage.get.counter,1778169989702000000,1778170017939000000,10
cacheStateStorage.get.duration,1778169989702000000,1778170017939000000,0
workspaceModel.initializing.ms,1778169989702000000,1778170017939000000,0
workspaceModel.cachedValueWithParameters.clear.count,1778169989702000000,1778170017939000000,0
workspaceModel.full.replace.project.model.ms,1778169989702000000,1778170017939000000,0
workspaceModel.check.recursive.update.ms,1778169989702000000,1778170017939000000,0
workspaceModel.cachedValue.total.get.count,1778169989702000000,1778170017939000000,31
workspaceModel.to.snapshot.ms,1778169989702000000,1778170017939000000,0
workspaceModel.cachedValue.calculated.count,1778169989702000000,1778170017939000000,2
workspaceModel.on.before.changed.ms,1778169989702000000,1778170017939000000,0
workspaceModel.loading.from.cache.ms,1778169989702000000,1778170017939000000,24
workspaceModel.cachedValue.clear.count,1778169989702000000,1778170017939000000,0
workspaceModel.pre.handlers.ms,1778169989702000000,1778170017939000000,0
workspaceModel.replace.project.model.ms,1778169989702000000,1778170017939000000,0
workspaceModel.update.unloaded.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1778169989702000000,1778170017939000000,4
workspaceModel.cachedValueWithParameters.calculated.count,1778169989702000000,1778170017939000000,0
workspaceModel.on.changed.ms,1778169989702000000,1778170017939000000,0
workspaceModel.updates.ms,1778169989702000000,1778170017939000000,0
workspaceModel.updates.count,1778169989702000000,1778170017939000000,0
workspaceModel.loading.total.ms,1778169989702000000,1778170017939000000,28
workspaceModel.init.bridges.ms,1778169989702000000,1778170017939000000,0
workspaceModel.updates.precise.ms,1778169989702000000,1778170017939000000,0
workspaceModel.cachedValue.from.cache.count,1778169989702000000,1778170017939000000,29
workspaceModel.cachedValueWithParameters.total.get.count,1778169989702000000,1778170017939000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1778169989702000000,1778170017939000000,0
workspaceModel.collect.changes.ms,1778169989702000000,1778170017939000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1778169989702000000,1778170017939000000,41943040
FilePageCache.pageLoads,1778169989702000000,1778170017939000000,402
FilePageCache.totalPageLoadsUs,1778169989702000000,1778170017939000000,183463
FilePageCache.pageHits,1778169989702000000,1778170017939000000,0
FilePageCache.maxCacheSizeInBytes,1778169989702000000,1778170017939000000,418381824
FilePageCache.disposedBuffers,1778169989702000000,1778170017939000000,402
FilePageCache.totalPageDisposalsUs,1778169989702000000,1778170017939000000,3868
FilePageCache.pageFastCacheHits,1778169989702000000,1778170017939000000,28022
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1778169989702000000,1778170017939000000,41943040
StorageLockContext.competingThreads.max,1778169989702000000,1778170017939000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1778169989702000000,1778170017939000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1778169989702000000,1778170017939000000,0
DirectByteBufferAllocator.reclaimed,1778169989702000000,1778170017939000000,43
FilePageCache.uncachedFileAccess,1778169989702000000,1778170017939000000,727
FilePageCache.maxRegisteredFiles,1778169989702000000,1778170017939000000,1119
StorageLockContext.competingThreads.90P,1778169989702000000,1778170017939000000,0
FilePageCache.capacityInBytes,1778169989702000000,1778170017939000000,629145600
DirectByteBufferAllocator.hits,1778169989702000000,1778170017939000000,3
DirectByteBufferAllocator.disposed,1778169989702000000,1778170017939000000,359
DirectByteBufferAllocator.misses,1778169989702000000,1778170017939000000,399
StorageLockContext.competingThreads.avg,1778169989702000000,1778170017939000000,0.0
workspaceModel.mutableEntityStorage.resolve.ms,1778169989702000000,1778170017939000000,0
jps.global.handle.before.change.events.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778169989702000000,1778170017939000000,0
jps.global.initialize.library.bridges.after.loading.ms,1778169989702000000,1778170017939000000,0
workspaceModel.do.save.caches.ms,1778169989702000000,1778170017939000000,0
jps.library.entities.serializer.load.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778169989702000000,1778170017939000000,5
jps.load.initial.state.ms,1778169989702000000,1778170017939000000,9
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1778169989702000000,1778170017939000000,0
workspaceModel.sync.entities.ms,1778169989702000000,1778170017939000000,0
